%time,field.data
1520088908101819441,4
1520088909300963422,3
1520088909801183474,2
1520088910201385556,2
1520088911150957013,3
1520088911251856261,1
1520088913001535033,4
1520088916952752017,9
1520088918801221764,5
1520088919901312065,3
1520088921801678915,5
1520088925952831667,9
1520088928353174126,6
1520088930751268568,6
1520088932751065059,5
1520088935451297724,6
1520088936150891574,2
1520088938901296451,6
1520088938951122324,0
1520088941953605790,7
1520088945001156894,7
1520088946400987046,4
1520088947601874146,3
1520088948851299535,3
1520088949151048748,2
1520088949901700592,2
1520088952803616286,7
1520088954150935993,4
1520088954851485887,2
1520088957052401393,5
1520088957101832143,0
1520088957902258458,3
1520088959501277953,4
1520088961152882033,4
1520088961700780439,2
1520088964402346586,6
1520088966103852411,4
1520088967150952678,3
1520088967902473799,2
1520088968801635670,3
1520088970454137014,4
1520088971951457204,4
1520088973551587240,4
1520088973700836749,1
1520088974902223215,3
1520088977202049541,6
1520088979855348868,6
1520088980451640610,2
1520088982501764588,5
1520088984551974796,5
1520088985052524927,2
1520088985101207263,0
1520088988153308597,7
1520088989551268943,4
1520088990201186184,2
1520088992551872094,6
1520088994403612813,5
1520088996051810575,4
1520088996600827937,2
1520088998252379358,4
1520089000751830983,6
1520089003005958676,5
1520089004501662472,4
1520089007601427493,7
1520089009452107178,5
1520089010551517209,3
1520089010950746709,2
1520089012202461600,3
1520089014203855216,5
1520089016202651560,5
1520089018551388671,6
1520089019202222397,2
1520089020800991439,4
1520089021654516661,3
1520089024203840649,6
1520089026454052718,5
1520089029252913908,7
1520089030602436369,4
1520089030951924429,2
1520089032153197389,3
1520089032502403628,2
1520089032851764835,2
1520089033001564733,1
1520089035651441772,6
1520089035803686611,1
1520089035851233173,1
1520089037303513921,4
1520089038002546264,2
1520089038702359396,2
1520089041401122351,6
1520089043102605819,4
1520089045554547463,6
1520089047202287786,4
1520089050104299470,7
1520089050904457884,3
1520089053101678809,5
1520089055901071739,7
1520089057253498280,4
1520089059153676243,5
1520089061251749746,5
1520089062101428081,3
1520089063550994382,4
1520089064752143972,3
1520089066650979358,5
1520089066901893771,1
1520089069902309665,7
1520089071702440692,5
1520089073854118376,5
1520089075753116714,5
1520089077253750079,4
1520089079003709020,4
1520089081352863286,6
1520089083953996203,6
1520089084953507698,3
1520089085651677345,2
1520089087002327667,4
1520089089303383905,6
1520089090952680399,4
1520089093401126599,6
1520089094053439614,2
1520089094800959195,2
1520089095750797211,3
1520089095801038131,0
1520089098353571684,6
1520089100403875131,5
1520089103552104902,7
1520089105351125733,5
1520089106354484950,3
1520089109352058815,7
1520089111902459614,6
1520089114701096066,7
1520089115250765701,2
1520089115703829948,2
1520089117151420660,4
1520089119051494935,5
1520089121003496602,5
1520089123801243359,7
1520089123850941258,1
1520089123901828212,1
1520089127200828527,8
1520089129252571291,5
1520089129303043926,1
1520089131301264691,5
1520089133253203436,5
1520089134353987549,3
1520089136402051828,5
1520089136801846987,2
